iter	Logloss
0	0.6615954417
1	0.6338953159
2	0.6075608724
3	0.5835864979
4	0.5638731771
5	0.5442536527
6	0.5261132063
7	0.5104113228
8	0.4965511701
9	0.4833247564
10	0.4707894909
11	0.4585411779
12	0.4468770309
13	0.4369486928
14	0.4274446078
15	0.4198351743
16	0.4117964303
17	0.4042275624
18	0.3983832796
19	0.3937100321
20	0.3884033575
21	0.3833149596
22	0.379491672
23	0.3745505356
24	0.370776498
25	0.3672366165
26	0.3641918531
27	0.3610937006
28	0.358291895
29	0.3556967389
30	0.3528267738
31	0.3504649114
32	0.3482235177
33	0.3464255035
34	0.3452309685
35	0.3436254482
36	0.341388454
37	0.3400108228
38	0.3383738025
39	0.3367681736
40	0.335567754
41	0.3344179496
42	0.3332996125
43	0.3323249461
44	0.3310213393
45	0.3299960071
46	0.3288632016
47	0.3277554845
48	0.3270721745
49	0.3261381426
50	0.3253202805
51	0.3244049803
52	0.3234432807
53	0.3226260589
54	0.3219084054
55	0.3212992457
56	0.3210008768
57	0.3204871591
58	0.319918612
59	0.3191809167
60	0.3185536414
61	0.3178449889
62	0.3173805022
63	0.3168485868
64	0.3164508157
65	0.3157181809
66	0.3151419935
67	0.3145949714
68	0.3139551608
69	0.3133551826
70	0.3129492474
71	0.3125638001
72	0.3121457069
73	0.3116672344
74	0.3112914644
75	0.3109271768
76	0.3104939282
77	0.3100107877
78	0.3096682474
79	0.309359084
80	0.3088449944
81	0.3084082198
82	0.30813748
83	0.3078919782
84	0.3072545045
85	0.3070628635
86	0.306418564
87	0.3061481758
88	0.3057210411
89	0.3055197178
90	0.3052328696
91	0.3049565855
92	0.3047755386
93	0.3045216574
94	0.304244024
95	0.3039979998
96	0.3035836052
97	0.3032750922
98	0.3030628933
99	0.3028163238
100	0.302616016
101	0.3021779119
102	0.3017551668
103	0.3015047566
104	0.3013547742
105	0.3011786014
106	0.3009940835
107	0.3007959809
108	0.3005258668
109	0.3000977836
110	0.299997846
111	0.2998511344
112	0.2995979841
113	0.2993801921
114	0.2992402504
115	0.2988464229
116	0.2987077633
117	0.2985219326
118	0.2982811842
119	0.2981008675
120	0.2979591322
121	0.2976916959
122	0.2974574274
123	0.2969354773
124	0.2966828682
125	0.2965179841
126	0.2964284964
127	0.2962344392
128	0.2961016464
129	0.2959778124
130	0.2958849646
131	0.2957550258
132	0.2956090893
133	0.295483937
134	0.2952289579
135	0.2951000848
136	0.2948797922
137	0.2947131691
138	0.2941817416
139	0.2940709586
140	0.2939205373
141	0.2937550107
142	0.2935881316
143	0.2933603457
144	0.2932672682
145	0.2932002189
146	0.2930371291
147	0.2929114748
148	0.2927098431
149	0.2926177381
150	0.2925074787
151	0.2924216874
152	0.2923081336
153	0.2917530463
154	0.2916739952
155	0.2915693408
156	0.2914946399
157	0.2914058553
158	0.2912728163
159	0.2911106011
160	0.2910522729
161	0.2909438391
162	0.2908141083
163	0.2906922555
164	0.2905804143
165	0.2905028473
166	0.2904344215
167	0.2902376879
168	0.2901469199
169	0.2900657234
170	0.289968961
171	0.2897786469
172	0.2896319109
173	0.2895330667
174	0.2894457492
175	0.2893334257
176	0.289189508
177	0.2890786406
178	0.2888666389
179	0.2888252879
180	0.2886816908
181	0.2886579502
182	0.2885520561
183	0.2881857896
184	0.2880453498
185	0.287954953
186	0.2878399282
187	0.2876995232
188	0.2875073441
189	0.2873955836
190	0.2873448375
191	0.2872477142
192	0.2871822311
193	0.286957928
194	0.2868822988
195	0.2867749332
196	0.2866334927
197	0.2865340695
198	0.2863508248
199	0.2862713648
